,cluster_id,cluster_cohortney
0,0,2
1,0,2
2,0,2
3,0,2
4,0,2
5,0,1
6,0,2
7,0,2
8,0,2
9,0,2
10,0,2
11,0,0
12,0,2
13,0,2
14,0,2
15,0,2
16,0,2
17,0,2
18,0,2
19,0,2
20,0,2
21,0,1
22,0,2
23,0,2
24,0,1
25,0,2
26,0,2
27,0,2
28,0,2
29,0,2
30,0,0
31,0,2
32,0,2
33,0,2
34,0,2
35,0,2
36,0,2
37,0,2
38,0,2
39,0,3
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,1
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,2
86,0,2
87,0,2
88,0,2
89,0,2
90,0,2
91,0,2
92,0,2
93,0,2
94,0,2
95,0,2
96,0,2
97,0,2
98,0,2
99,0,2
100,0,2
101,0,2
102,0,1
103,0,2
104,0,2
105,0,2
106,0,1
107,0,2
108,0,1
109,0,2
110,0,2
111,0,2
112,0,2
113,0,2
114,0,2
115,0,2
116,0,2
117,0,2
118,0,2
119,0,2
120,0,2
121,0,2
122,0,1
123,0,2
124,0,2
125,0,2
126,0,2
127,0,2
128,0,2
129,0,2
130,0,2
131,0,2
132,0,2
133,0,2
134,0,2
135,0,2
136,0,3
137,0,2
138,0,2
139,0,2
140,0,0
141,0,2
142,0,2
143,0,2
144,0,2
145,0,1
146,0,2
147,0,1
148,0,2
149,0,2
150,0,2
151,0,0
152,0,2
153,0,3
154,0,3
155,0,2
156,0,3
157,0,1
158,0,1
159,0,2
160,0,2
161,0,2
162,0,3
163,0,3
164,0,2
165,0,2
166,0,2
167,0,2
168,0,2
169,0,2
170,0,2
171,0,2
172,0,2
173,0,1
174,0,2
175,0,2
176,0,3
177,0,2
178,0,1
179,0,2
180,0,2
181,0,2
182,0,2
183,0,0
184,0,2
185,0,2
186,0,1
187,0,2
188,0,1
189,0,2
190,0,3
191,0,2
192,0,1
193,0,2
194,0,2
195,0,2
196,0,2
197,0,2
198,0,1
199,0,0
200,0,3
201,0,2
202,0,1
203,0,2
204,0,3
205,0,2
206,0,2
207,0,3
208,0,2
209,0,2
210,0,2
211,0,2
212,0,2
213,0,2
214,0,1
215,0,1
216,0,1
217,0,0
218,0,2
219,0,3
220,0,2
221,0,2
222,0,1
223,0,1
224,0,2
225,0,2
226,0,2
227,0,1
228,0,2
229,0,2
230,0,1
231,0,2
232,0,2
233,0,2
234,0,2
235,0,2
236,0,1
237,0,2
238,0,1
239,0,2
240,0,2
241,0,2
242,0,1
243,0,2
244,0,3
245,0,2
246,0,2
247,0,0
248,0,2
249,0,2
250,0,0
251,0,0
252,0,2
253,0,2
254,0,2
255,0,2
256,0,1
257,0,1
258,0,1
259,0,0
260,0,2
261,0,0
262,0,0
263,0,2
264,0,0
265,0,0
266,0,1
267,0,0
268,0,3
269,0,1
270,0,3
271,0,0
272,0,0
273,0,2
274,0,0
275,0,0
276,0,1
277,0,0
