,cluster_id,cluster_cohortney
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,2
6,0,0
7,0,0
8,0,0
9,0,0
10,0,1
11,0,0
12,0,1
13,0,0
14,0,0
15,0,0
16,0,2
17,0,2
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,1
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,1
41,0,1
42,0,0
43,0,0
44,0,0
45,0,2
46,0,0
47,0,1
48,0,2
49,0,0
50,0,0
51,0,2
52,0,0
53,0,1
54,0,2
55,0,0
56,0,0
57,0,0
58,0,1
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,1
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,2
72,0,0
73,0,0
74,0,0
75,0,0
76,0,2
77,0,1
78,0,0
79,0,0
80,0,2
81,0,0
82,0,0
83,0,2
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,2
99,0,0
100,0,2
101,0,2
102,0,0
103,0,2
104,0,0
105,0,1
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,2
115,0,0
116,0,1
117,0,0
118,0,0
119,0,2
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,1
134,0,1
135,0,1
136,0,0
137,0,1
138,0,1
139,0,1
140,0,0
141,0,1
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,1
148,0,0
149,0,0
150,0,1
151,0,1
152,0,0
153,0,2
154,0,0
155,0,1
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,2
163,0,0
164,0,1
165,0,0
166,0,1
167,0,0
168,0,0
169,0,0
170,0,1
171,0,0
172,0,0
173,0,1
174,0,0
175,0,2
176,0,0
177,0,0
178,0,0
179,0,1
180,0,1
181,0,0
182,0,0
183,0,1
184,0,1
185,0,0
186,0,0
187,0,1
188,0,1
189,0,0
190,0,1
191,0,1
192,0,0
193,0,0
194,0,1
195,0,2
196,0,1
197,0,0
198,0,0
199,0,1
200,0,0
201,0,0
202,0,0
203,0,2
204,0,1
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,1
211,0,0
212,0,0
213,0,1
214,0,0
215,0,1
216,0,0
217,0,1
218,0,0
219,0,0
220,0,1
221,0,2
222,0,0
223,0,0
224,0,1
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,1
233,0,0
234,0,0
235,0,1
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,1
249,0,0
250,0,0
251,0,0
252,0,0
253,0,1
254,0,0
255,0,0
256,0,2
257,0,0
258,0,1
259,0,2
260,0,1
261,0,0
262,0,0
263,0,1
264,0,1
265,0,0
266,0,1
267,0,1
268,0,1
269,0,0
270,0,0
271,0,0
272,0,1
273,0,0
274,0,0
275,0,0
276,0,2
277,0,2
278,0,0
279,0,0
280,0,0
281,0,0
282,0,1
283,0,1
284,0,0
285,0,1
286,0,0
287,0,2
288,0,1
289,0,2
290,0,0
291,0,1
292,0,1
293,0,0
294,0,1
295,0,2
296,0,1
297,0,0
298,0,0
299,0,1
300,0,0
301,0,1
302,0,1
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,1
310,0,0
311,0,1
312,0,1
313,0,0
314,0,1
315,0,1
316,0,0
317,0,1
318,0,1
319,0,0
320,0,1
321,0,1
322,0,0
323,0,0
324,0,0
325,0,2
326,0,0
327,0,1
328,0,1
329,0,1
330,0,0
331,0,0
332,0,1
333,0,0
334,0,1
335,0,0
336,0,0
337,0,0
338,0,1
339,0,1
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,2
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,2
358,0,1
359,0,1
360,0,1
361,0,0
362,0,1
363,0,0
364,0,1
365,0,2
366,0,2
367,0,0
368,0,2
369,0,0
370,0,2
371,0,1
372,0,0
373,0,1
374,0,1
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,1
382,0,0
383,0,0
384,0,2
385,0,2
386,0,0
387,0,1
388,0,0
389,0,1
390,0,0
391,0,0
392,0,0
393,0,0
394,0,1
395,0,1
396,0,1
397,0,1
398,0,0
399,0,1
400,1,0
401,1,2
402,1,2
403,1,2
404,1,2
405,1,2
406,1,2
407,1,2
408,1,2
409,1,2
410,1,0
411,1,2
412,1,2
413,1,2
414,1,2
415,1,0
416,1,1
417,1,2
418,1,1
419,1,1
420,1,2
421,1,1
422,1,2
423,1,2
424,1,2
425,1,2
426,1,2
427,1,2
428,1,2
429,1,2
430,1,2
431,1,0
432,1,2
433,1,0
434,1,2
435,1,1
436,1,2
437,1,0
438,1,2
439,1,2
440,1,0
441,1,2
442,1,2
443,1,0
444,1,2
445,1,0
446,1,2
447,1,2
448,1,2
449,1,1
450,1,2
451,1,2
452,1,2
453,1,2
454,1,2
455,1,2
456,1,2
457,1,2
458,1,2
459,1,1
460,1,2
461,1,0
462,1,2
463,1,2
464,1,2
465,1,2
466,1,1
467,1,2
468,1,2
469,1,2
470,1,2
471,1,1
472,1,2
473,1,0
474,1,2
475,1,0
476,1,2
477,1,0
478,1,0
479,1,2
480,1,2
481,1,2
482,1,2
483,1,2
484,1,0
485,1,2
486,1,2
487,1,0
488,1,2
489,1,2
490,1,1
491,1,1
492,1,2
493,1,0
494,1,0
495,1,2
496,1,2
497,1,2
498,1,2
499,1,2
500,1,0
501,1,2
502,1,0
503,1,2
504,1,2
505,1,0
506,1,2
507,1,2
508,1,2
509,1,0
510,1,2
511,1,2
512,1,0
513,1,2
514,1,2
515,1,2
516,1,1
517,1,2
518,1,2
519,1,2
520,1,2
521,1,1
522,1,2
523,1,2
524,1,2
525,1,2
526,1,2
527,1,2
528,1,1
529,1,2
530,1,1
531,1,2
532,1,2
533,1,2
534,1,2
535,1,2
536,1,2
537,1,2
538,1,2
539,1,2
540,1,2
541,1,2
542,1,2
543,1,2
544,1,2
545,1,2
546,1,1
547,1,1
548,1,2
549,1,1
550,1,2
551,1,2
552,1,2
553,1,2
554,1,2
555,1,1
556,1,2
557,1,2
558,1,1
559,1,2
560,1,0
561,1,2
562,1,2
563,1,2
564,1,2
565,1,2
566,1,2
567,1,2
568,1,2
569,1,2
